now,cpu.total,cpu.system,cpu.idle,cpu.user,mem.percent
2023-08-24 11:58:44 +0100,8.8,7.4,91.2,1.3,15.5
2023-08-24 12:20:45 +0100,7.6,6.6,92.4,1.0,15.4
2023-08-24 12:21:45 +0100,7.6,6.6,92.4,1.0,15.4
2023-08-24 12:43:20 +0100,7.6,6.7,92.4,0.9,15.4
2023-08-24 12:44:19 +0100,7.6,6.7,92.4,0.9,15.4
2023-08-24 13:05:52 +0100,100.0,5.4,89.5,0.9,15.4
2023-08-24 13:06:52 +0100,100.0,5.4,89.5,0.9,15.4
2023-08-24 13:28:53 +0100,100.0,4.8,94.4,0.8,15.4
2023-08-24 13:29:53 +0100,100.0,4.8,94.4,0.8,15.4
2023-08-24 13:51:19 +0100,100.0,4.7,94.6,0.7,15.4
2023-08-24 13:52:19 +0100,100.0,4.7,94.6,0.7,15.4
2023-08-24 14:13:36 +0100,9.5,2.8,29.2,0.3,15.4
2023-08-24 14:14:36 +0100,9.5,2.8,29.2,0.3,15.4
2023-08-24 14:36:24 +0100,8.1,7.3,91.9,0.8,15.4
2023-08-24 14:37:24 +0100,8.1,7.3,91.9,0.8,15.4
2023-08-24 14:58:20 +0100,11.1,10.1,88.9,1.0,14.3
2023-08-24 14:59:20 +0100,11.1,10.1,88.9,1.0,14.3
2023-08-24 15:21:09 +0100,11.0,9.9,89.0,1.0,15.5
2023-08-24 15:22:09 +0100,11.0,9.9,89.0,1.0,15.5
2023-08-24 15:43:03 +0100,9.9,9.0,90.1,1.0,15.4
2023-08-24 15:44:03 +0100,9.9,9.0,90.1,1.0,15.4
2023-08-24 16:05:46 +0100,10.1,9.1,89.9,1.0,16.0
2023-08-24 16:06:46 +0100,10.1,9.1,89.9,1.0,16.0
2023-08-24 16:27:45 +0100,10.1,9.1,89.9,1.0,15.4
2023-08-24 16:28:45 +0100,10.1,9.1,89.9,1.0,15.4
2023-08-24 16:50:19 +0100,10.1,9.1,89.9,1.0,15.9
2023-08-24 16:51:19 +0100,10.1,9.1,89.9,1.0,15.9
2023-08-24 17:13:23 +0100,10.2,9.2,89.8,1.1,15.4
2023-08-24 17:14:23 +0100,10.2,9.2,89.8,1.1,15.4
2023-08-24 17:35:21 +0100,10.2,9.2,89.8,1.0,15.4
2023-08-24 17:36:21 +0100,10.2,9.2,89.8,1.0,15.4
2023-08-24 17:58:24 +0100,10.9,9.7,89.1,1.2,16.2
2023-08-24 17:59:24 +0100,10.9,9.7,89.1,1.2,16.2
2023-08-24 18:20:01 +0100,10.8,9.4,89.2,1.3,15.4
2023-08-24 18:21:01 +0100,10.8,9.4,89.2,1.3,15.4
2023-08-24 18:41:33 +0100,10.1,9.1,89.9,1.0,15.4
2023-08-24 18:42:33 +0100,10.1,9.1,89.9,1.0,15.4
2023-08-24 19:03:24 +0100,9.9,8.9,90.1,1.0,15.4
2023-08-24 19:04:24 +0100,9.9,8.9,90.1,1.0,15.4
2023-08-24 19:25:52 +0100,10.2,9.1,89.8,1.1,15.9
2023-08-24 19:26:52 +0100,10.2,9.1,89.8,1.1,15.9
2023-08-24 19:48:10 +0100,10.1,9.1,89.9,1.0,15.4
2023-08-24 19:49:10 +0100,10.1,9.1,89.9,1.0,15.4
2023-08-24 20:09:59 +0100,10.2,9.3,89.7,1.0,15.7
2023-08-24 20:10:59 +0100,10.2,9.3,89.7,1.0,15.7
2023-08-24 20:32:01 +0100,10.2,9.3,89.8,1.0,15.5
2023-08-24 20:33:01 +0100,10.2,9.3,89.8,1.0,15.5
2023-08-24 20:54:51 +0100,100.0,9.1,89.8,1.1,15.4
2023-08-24 20:55:51 +0100,100.0,9.1,89.8,1.1,15.4
2023-08-24 21:16:45 +0100,10.4,9.3,89.6,1.1,15.4
2023-08-24 21:17:45 +0100,8.4,7.6,91.6,0.9,15.4
2023-08-24 21:38:59 +0100,10.3,9.3,89.7,1.0,15.4
2023-08-24 21:39:59 +0100,10.3,9.3,89.7,1.0,15.4
2023-08-24 22:01:20 +0100,10.2,9.2,89.8,1.0,15.4
2023-08-24 22:02:20 +0100,10.2,9.2,89.8,1.0,15.4
2023-08-24 22:23:58 +0100,10.3,9.3,89.7,1.0,15.9
2023-08-24 22:24:58 +0100,10.3,9.3,89.7,1.0,15.9
2023-08-24 22:46:35 +0100,10.1,9.1,89.9,1.0,15.4
2023-08-24 22:47:35 +0100,10.1,9.1,89.9,1.0,15.4
2023-08-24 23:09:26 +0100,10.4,9.3,89.6,1.1,16.6
2023-08-24 23:10:26 +0100,10.4,9.3,89.6,1.1,16.6
2023-08-24 23:31:39 +0100,10.3,9.3,89.7,1.0,16.4
2023-08-24 23:32:39 +0100,10.3,9.3,89.7,1.0,16.4
2023-08-24 23:55:10 +0100,9.6,8.5,90.4,1.1,15.5
2023-08-24 23:56:10 +0100,9.6,8.5,90.4,1.1,15.5
2023-08-25 00:17:11 +0100,9.9,8.9,90.1,1.0,15.5
2023-08-25 00:18:11 +0100,9.9,8.9,90.1,1.0,15.5
2023-08-25 00:39:01 +0100,10.1,9.1,89.9,1.0,16.0
2023-08-25 00:40:01 +0100,10.1,9.1,89.9,1.0,16.0
2023-08-25 01:01:54 +0100,10.4,9.3,89.6,1.1,15.4
2023-08-25 01:02:54 +0100,10.4,9.3,89.6,1.1,15.4
2023-08-25 01:24:27 +0100,10.1,9.1,89.9,1.0,15.5
2023-08-25 01:25:27 +0100,10.1,9.1,89.9,1.0,15.5
2023-08-25 01:46:30 +0100,10.1,9.1,89.9,1.0,15.5
2023-08-25 01:47:30 +0100,10.1,9.1,89.9,1.0,15.5
2023-08-25 02:08:58 +0100,10.1,9.1,89.9,1.0,15.6
2023-08-25 02:09:58 +0100,10.1,9.1,89.9,1.0,15.6
2023-08-25 02:31:11 +0100,9.7,8.8,90.3,1.0,15.5
2023-08-25 02:32:11 +0100,9.7,8.8,90.3,1.0,15.5
