now,cpu.total,cpu.system,cpu.idle,cpu.user,mem.percent
2023-08-23 16:13:32 +0100,1.1,0.5,98.9,0.6,3.9
2023-08-23 16:14:32 +0100,1.1,0.5,98.9,0.6,3.9
2023-08-23 16:15:32 +0100,0.9,0.4,99.1,0.4,3.9
2023-08-23 16:16:32 +0100,0.9,0.4,99.1,0.4,3.9
2023-08-23 16:17:32 +0100,0.8,0.4,99.2,0.4,3.9
2023-08-23 16:18:32 +0100,0.8,0.4,99.2,0.4,3.9
2023-08-23 16:19:32 +0100,0.9,0.4,99.1,0.4,3.9
2023-08-23 16:20:32 +0100,0.9,0.4,99.1,0.4,3.9
2023-08-23 16:21:32 +0100,0.7,0.3,99.3,0.3,3.9
2023-08-23 16:22:32 +0100,0.7,0.3,99.3,0.3,3.9
2023-08-23 16:23:32 +0100,1.4,0.5,98.6,0.9,3.9
2023-08-23 16:24:32 +0100,1.4,0.5,98.6,0.9,3.9
2023-08-23 16:25:32 +0100,0.5,0.2,99.5,0.3,3.9
2023-08-23 16:26:32 +0100,0.5,0.2,99.5,0.3,3.9
2023-08-23 16:27:32 +0100,0.7,0.3,99.3,0.4,3.9
2023-08-23 16:28:32 +0100,0.7,0.3,99.3,0.4,3.9
2023-08-23 16:29:32 +0100,0.8,0.4,99.2,0.4,3.9
2023-08-23 16:30:32 +0100,0.8,0.4,99.2,0.4,3.9
2023-08-23 16:31:32 +0100,0.7,0.3,99.3,0.3,3.9
2023-08-23 16:32:32 +0100,0.7,0.3,99.3,0.3,3.9
2023-08-23 16:33:32 +0100,0.8,0.3,99.2,0.4,3.9
2023-08-23 16:34:32 +0100,0.8,0.3,99.2,0.4,3.9
2023-08-23 16:35:32 +0100,0.8,0.4,99.2,0.4,3.9
2023-08-23 16:36:32 +0100,0.8,0.4,99.2,0.4,3.9
2023-08-23 16:37:32 +0100,0.5,0.2,99.5,0.3,3.9
2023-08-23 16:38:32 +0100,0.5,0.2,99.5,0.3,3.9
2023-08-23 16:39:32 +0100,0.7,0.3,99.3,0.4,3.9
2023-08-23 16:40:32 +0100,0.7,0.3,99.3,0.4,3.9
2023-08-23 16:41:32 +0100,0.8,0.3,99.2,0.4,3.9
2023-08-23 16:42:32 +0100,0.8,0.3,99.2,0.4,3.9
2023-08-23 16:43:32 +0100,0.7,0.3,99.3,0.4,3.9
2023-08-23 16:44:32 +0100,0.7,0.3,99.3,0.4,3.9
2023-08-23 16:45:32 +0100,0.8,0.3,99.2,0.4,3.9
2023-08-23 16:46:32 +0100,0.8,0.3,99.2,0.4,3.9
2023-08-23 16:47:32 +0100,0.8,0.3,99.2,0.4,3.9
2023-08-23 16:48:32 +0100,0.8,0.3,99.2,0.4,3.9
2023-08-23 16:49:32 +0100,0.7,0.3,99.3,0.3,3.9
