No.,Date/Time,Cost (£),Energy (kWh),Power (kW),Power Factor,Current 1 (amps)
1,04/03/2024 11:30,0.05,0.05,1,-0.22,18.4
2,04/03/2024 12:00,0.04,0.44,0.9,-0.21,17.8
3,04/03/2024 12:30,0.04,0.37,0.7,-0.19,16.9
4,04/03/2024 13:00,0.04,0.39,0.8,-0.2,17.2
5,04/03/2024 13:30,0.04,0.37,0.7,-0.19,16.8
6,04/03/2024 14:00,0.04,0.37,0.7,-0.19,16.7
7,04/03/2024 14:30,0.04,0.38,0.8,-0.2,16.8
8,04/03/2024 15:00,0.03,0.33,0.7,-0.18,16.2
9,04/03/2024 15:30,0.04,0.43,0.9,-0.21,17.8
10,04/03/2024 16:00,0.04,0.42,0.8,-0.2,17.4
11,04/03/2024 16:30,0.04,0.43,0.9,-0.21,17.7
12,04/03/2024 17:00,0.04,0.44,0.9,-0.21,17.7
13,04/03/2024 17:30,0.05,0.45,0.9,-0.22,17.9
14,04/03/2024 18:00,0.04,0.43,0.9,-0.21,17.6
15,04/03/2024 18:30,0.04,0.41,0.8,-0.21,17.2
16,04/03/2024 19:00,0.05,0.48,1,-0.22,18.5
17,04/03/2024 19:30,0.04,0.45,0.9,-0.22,17.7
18,04/03/2024 20:00,0.04,0.44,0.9,-0.22,17.3
19,04/03/2024 20:30,0.04,0.42,0.8,-0.21,16.9
20,04/03/2024 21:00,0.04,0.42,0.8,-0.21,16.9
21,04/03/2024 21:30,0.06,0.55,1.1,-0.24,19.5
22,04/03/2024 22:00,0.06,0.63,1.3,-0.26,21
23,04/03/2024 22:30,0.06,0.65,1.3,-0.26,21.1
24,04/03/2024 23:00,0.06,0.63,1.3,-0.26,21
25,04/03/2024 23:30,0.06,0.65,1.3,-0.26,21.2
26,05/03/2024 00:00,0.06,0.64,1.3,-0.26,21.1
27,05/03/2024 00:30,0.06,0.61,1.2,-0.25,20.5
28,05/03/2024 01:00,0.06,0.59,1.2,-0.25,20.3
29,05/03/2024 01:30,0.06,0.58,1.2,-0.24,20.1
30,05/03/2024 02:00,0.06,0.58,1.2,-0.25,20.1
31,05/03/2024 02:30,0.06,0.56,1.1,-0.24,19.8
