date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-03-04,5,-0.1,9.5,,,143,14.2,35.2,1008.6,
2024-03-05,6.2,3.8,8.7,,,325,8.4,27.8,1012.8,
2024-03-06,5.7,2.7,9.7,,,67,7.6,20.4,1021.3,
2024-03-07,6.3,3.2,10.2,,,77,15.5,35.2,1020.3,
2024-03-08,6.5,3.9,9.8,,,70,19.8,40.8,1007.2,
2024-03-09,9.1,6.8,11.9,,,88,17.5,35.2,995.2,
2024-03-10,8,6.9,8.8,,,69,9.7,22.2,995.9,
2024-03-11,7.6,6.3,9.7,,,327,12.6,29.6,1006.2,
2024-03-12,9.2,6.4,12.1,,,208,15.8,33.3,1011.7,
2024-03-13,11.7,10.1,14.1,,,214,23.5,48.2,1012.5,
2024-03-14,11.7,9,14.7,,,193,22.6,42.6,1006.9,
2024-03-15,11.8,9.4,14.1,,,229,23.5,44.5,1005.4,
2024-03-16,9,4.5,12.4,,,204,11.3,25.9,1019.4,
2024-03-17,11.6,9.5,14.6,,,191,15.4,35.2,1014.9,
2024-03-18,10.5,6.8,14.4,,,205,14.7,35.2,1014.7,
2024-03-19,11.6,10.1,13.8,,,196,18.1,35.2,1015.4,
2024-03-20,11.9,9.2,15.2,,,203,8.5,20.4,1018.2,
2024-03-21,10.6,7.2,14.3,,,219,12,31.5,1024.5,
2024-03-22,9.6,5.3,12.1,,,266,15.6,27.8,1018,
2024-03-23,6.2,3.3,8.7,,,266,22.9,48.2,1012.1,
2024-03-24,7.9,5,11.9,,,276,20.8,46.3,1009.9,
2024-03-25,8.1,5,11,,,139,14.6,31.5,1000.6,
2024-03-26,9.1,6.9,11.8,,,129,11,22.2,987.7,
2024-03-27,7.7,5.4,10.3,,,172,20.5,50,981.1,
2024-03-28,8.3,5.6,9.9,,,178,31.1,66.7,978,
2024-03-29,9.6,7.4,12.7,,,193,24.5,51.8,987.5,
2024-03-30,9.3,4.6,14.5,,,163,9.3,24.1,995,
2024-03-31,9.3,5.9,13.1,,,77,13.2,31.5,993.7,
2024-04-01,9.6,6.8,12.7,,,195,15.4,35.2,994.1,
