name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"London,UK",2024-08-13T00:00:00,21.2,21.2,11.7,54.87,0,0,,0,0,24.5,15.4,280,1009,27.5,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T01:00:00,19.4,19.4,11,58.17,0,0,,0,0,20.2,13.3,264,1009,15.1,10,0,0,0,10,Clear,clear-night,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T02:00:00,18.6,18.6,11.7,64.5,0,0,,0,0,20.2,10.2,235,1009,46,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T03:00:00,17.6,17.6,11.8,68.82,0,0,,0,0,17.6,12.5,242,1009,0,10,0,0,0,10,Clear,clear-night,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T04:00:00,16.6,16.6,12,74.2,0,0,,0,0,15.8,13,242,1009.2,62,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T05:00:00,16,16,12,77.13,0,0,,0,0,14.8,9.9,229,1009,55.3,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T06:00:00,15,15,12,82.23,0,0,,0,0,14.8,11.5,234,1009.2,100,10,15,0.1,0,10,Overcast,cloudy,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T07:00:00,15.2,15.2,12,81.12,0,0,,0,0,13.3,9.6,228,1009.2,77.2,10,57,0.2,1,10,Partially cloudy,partly-cloudy-day,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T08:00:00,16.2,16.2,12.2,77.16,0,0,,0,0,16.2,10.8,230,1009.2,78.8,10,99,0.4,1,10,Partially cloudy,partly-cloudy-day,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T09:00:00,18.2,18.2,12.8,70.76,0,0,,0,0,20.5,10.5,220,1010,100,10,464,1.7,5,10,Overcast,cloudy,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T10:00:00,19.6,19.6,12.2,62.33,0,0,,0,0,23.4,11.2,226,1009,88,10,591,2.1,6,10,Partially cloudy,partly-cloudy-day,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T11:00:00,21.2,21.2,11.6,54.22,0,0,,0,0,24.8,14.4,246,1009.2,50,10,644,2.3,6,10,Partially cloudy,partly-cloudy-day,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T12:00:00,23.2,23.2,11.9,49.26,0,0,,0,0,26.6,17.3,238,1009.2,25,10,759,2.7,8,10,Partially cloudy,partly-cloudy-day,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T13:00:00,23.8,23.8,12.8,50.14,0,0,,0,0,27,18.2,240,1009,25,10,786,2.8,8,10,Partially cloudy,partly-cloudy-day,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T14:00:00,25.4,25.4,12.4,44.37,0,0,,0,0,29.5,15.1,226,1009,25,10,172,0.6,2,10,Partially cloudy,partly-cloudy-day,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T15:00:00,26.4,26.4,11.6,39.62,0,0,,0,0,31,16.9,203,1009,7.5,10,135,0.5,1,10,Clear,clear-day,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T16:00:00,26.8,26.6,10.8,36.75,0,0,,0,0,32.4,15.4,208,1008.2,41.7,10,126,0.5,1,10,Partially cloudy,partly-cloudy-day,"EGWU,EGLL,D5621,EGLC"
"London,UK",2024-08-13T17:00:00,24.3,24.3,13.2,49.94,0,0,,0,0,32.8,13.7,222.2,1009,45.6,24.1,522,1.9,5,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-13T18:00:00,23.6,23.6,13,51.41,0,0,,0,0,32.8,11.9,228,1009,42.8,24.1,329,1.2,3,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-13T19:00:00,22.7,22.7,14.1,58.31,0,0,,0,0,28.8,11.2,233.9,1009,40.1,24.1,170,0.6,2,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-13T20:00:00,21.7,21.7,11.8,53.32,0,3.2,,0,0,25.9,10.1,237.6,1009,38.6,24.1,69,0.2,1,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-13T21:00:00,20.5,20.5,12.4,59.71,0,3.2,,0,0,23.4,7.6,224.7,1010,70.7,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-13T22:00:00,19.4,19.4,13,66.49,0,3.2,,0,0,16.6,7.2,219.2,1011,75.1,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-13T23:00:00,18.5,18.5,13.8,74.09,0,3.2,,0,0,16.6,7.2,238.9,1011,80.5,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-14T00:00:00,18.1,18.1,13.8,75.98,0,3.2,,0,0,16.2,6.1,243.7,1011,100,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-14T01:00:00,17.4,17.4,13.7,78.89,0,3.2,,0,0,14.4,4.7,252.4,1011,100,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-14T02:00:00,16.7,16.7,13.7,82.47,0,6.5,,0,0,10.1,3.6,235.1,1011,100,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-14T03:00:00,16.2,16.2,13.7,85.13,0,6.5,,0,0,8.3,3.2,228.5,1011,100,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-14T04:00:00,15.8,15.8,13.8,87.9,0,6.5,,0,0,7.6,3.6,243.1,1011,97.8,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-14T05:00:00,15.7,15.7,13.8,88.47,0,6.5,,0,0,7.9,2.2,216.2,1011,100,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-14T06:00:00,15.7,15.7,13.9,89.05,0,6.5,,0,0,5,2.5,221.2,1011,100,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-14T07:00:00,16.3,16.3,14.1,86.82,0,6.5,,0,0,5.4,2.2,207.7,1012,98.2,24.1,9,0,0,10,Overcast,cloudy,
"London,UK",2024-08-14T08:00:00,17.2,17.2,14.2,82.53,0,3.2,,0,0,8.6,3.2,238.2,1012,100,24.1,127,0.5,1,10,Overcast,cloudy,
"London,UK",2024-08-14T09:00:00,17.9,17.9,14.3,79.47,0,3.2,,0,0,14,5.8,243.3,1013,99.3,24.1,177,0.6,2,10,Overcast,cloudy,
"London,UK",2024-08-14T10:00:00,18.4,18.4,14.5,78.02,0,3.2,,0,0,15.5,5.4,239.7,1013,99.2,24.1,397,1.4,4,10,Overcast,cloudy,
"London,UK",2024-08-14T11:00:00,19.2,19.2,14.8,75.67,0,3.2,,0,0,20.5,8.6,247,1013,99.5,24.1,395,1.4,4,10,Overcast,cloudy,
"London,UK",2024-08-14T12:00:00,19.5,19.5,15,75.23,0,3.2,,0,0,23.8,9.7,247.5,1013,98.6,24.1,512,1.8,5,10,Overcast,cloudy,
"London,UK",2024-08-14T13:00:00,20.2,20.2,15.1,72.5,0,3.2,,0,0,25.2,9.7,249,1013,100,24.1,657,2.4,7,10,Overcast,cloudy,
